round,test_acc,test_loss,train_loss,val_loss,train_acc,val_acc
22,0.9365,0.21037643539905548,0.21631632036113363,0.23601918529501148,0.9350531914893618,0.9313829787234039
23,0.9365,0.21037643532454967,0.216104797518679,0.243201583669787,0.9372544642857142,0.9287499999999999
24,0.9365,0.21037643399238587,0.22395526513324254,0.2348091801600199,0.9336830357142857,0.9332142857142859
25,0.9365,0.21037643369436265,0.22268336359979746,0.24359482661015908,0.9345974576271188,0.9278813559322031
26,0.9365,0.21037643463611602,0.2137444251538678,0.23077356201342558,0.9377556818181819,0.9313636363636365
27,0.9411,0.20163190844208,0.20247203762022167,0.22611247114347252,0.9427083333333335,0.9341666666666665
28,0.9411,0.2016319098353386,0.20700265039301788,0.21951793868443928,0.9416406250000001,0.9356249999999999
29,0.9411,0.20163191422224044,0.20453417059069937,0.20822964272533476,0.941490384615385,0.9387499999999999
30,0.9411,0.20163191059827804,0.2095066705022169,0.21206418455973183,0.9405978260869567,0.9370652173913049
31,0.9411,0.20163191140890122,0.19620988753047727,0.22077829288518316,0.9445238095238101,0.9339285714285713
32,0.9411,0.20163191001266242,0.2092013822609977,0.21778386964253627,0.940994897959184,0.9353061224489796
33,0.9411,0.20163190858364105,0.20587436286732555,0.219569556416935,0.9408333333333334,0.9356481481481479
34,0.9411,0.2016319092988968,0.2062500825052966,0.23022073171253568,0.9404846938775514,0.9320408163265305
35,0.9411,0.2016319098353386,0.2011902039276159,0.22800507707521322,0.943457446808511,0.9318085106382973
36,0.9484,0.17886744441390037,0.18257270964514466,0.21400328410440128,0.94978125,0.9373750000000003
37,0.9484,0.17886744269132615,0.18118756937946,0.20007832393802835,0.948895348837209,0.9419767441860466
38,0.9484,0.17886744170188904,0.19263859549573828,0.19588520860014136,0.947156862745098,0.942549019607843
39,0.9484,0.17886744410991667,0.18658285880725217,0.20018860020667004,0.9477083333333336,0.942666666666667
40,0.9484,0.17886744502782823,0.1881792009346187,0.19535986685998508,0.9489000000000003,0.9447000000000001
41,0.9484,0.1788674434632063,0.18500310289633018,0.21413384489365853,0.9484510869565215,0.9405434782608697
42,0.9484,0.17886744622588158,0.18272178043109863,0.19051855594797346,0.9495192307692306,0.9486538461538461
43,0.9484,0.17886744776964186,0.18751998376814605,0.2095779685370941,0.9464627659574467,0.9405319148936178
44,0.9484,0.17886744311004876,0.1867731907880124,0.19732056440937587,0.9480357142857143,0.9465306122448983
45,0.9515,0.16636419865489005,0.16863147540095572,0.18541161365942874,0.9530989583333332,0.9447916666666664
46,0.9515,0.16636419953107834,0.18073996740124998,0.18932882982637667,0.9495762711864406,0.9437288135593218
47,0.9515,0.1663641988694668,0.16494958362839326,0.18644746052378666,0.9532978723404254,0.9470212765957446
48,0.9515,0.1663642012834549,0.17231756708366758,0.18185313095333683,0.950851063829787,0.9445744680851065
49,0.9515,0.16636419788599013,0.16717714214786178,0.1825291386498915,0.9524999999999999,0.9448809523809523
50,0.9515,0.16636419969201088,0.1833719845522534,0.18770199837544083,0.9491363636363632,0.9440909090909094
51,0.9515,0.16636419876813888,0.17371098226884543,0.18221590239626606,0.9521590909090908,0.9451818181818179
52,0.9515,0.1663642014376819,0.17522639569939996,0.1810106174239503,0.9510365853658538,0.9467073170731705
53,0.9515,0.16636419981122016,0.17887314004109556,0.18401355098055985,0.9501041666666663,0.9447499999999996
54,0.9543,0.16261344523727894,0.17186347057400594,0.1770553831388403,0.953254310344827,0.94948275862069
55,0.9543,0.16261344596147537,0.16596429287875075,0.17333807979786076,0.9553437500000005,0.951
56,0.9543,0.1626134475454688,0.1716211494917082,0.1860723068148798,0.9535381355932201,0.9455084745762711
57,0.9543,0.1626134473502636,0.1680204717469487,0.17792547817083754,0.9554318181818178,0.9510909090909091
58,0.9543,0.16261344626545907,0.17453653631796093,0.18245279700932865,0.9545474137931031,0.9483620689655177
59,0.9543,0.16261344663500785,0.1694066578481832,0.1859047490627626,0.953478260869565,0.9484782608695651
60,0.9543,0.16261344650387763,0.16361630802974106,0.17260703752029014,0.9560795454545452,0.9515909090909087
61,0.9543,0.16261344586610793,0.17359198794700204,0.17808391786007755,0.9533888888888886,0.9498888888888891
62,0.9543,0.1626134461581707,0.17273774478671164,0.18756240956877834,0.9543895348837208,0.9482558139534885
63,0.9552,0.16060706456154586,0.16916985192939382,0.18828541566192472,0.9553977272727271,0.9452272727272727
64,0.9552,0.16060706218779086,0.17585679676634475,0.17846042433794468,0.9526682692307691,0.948653846153846
65,0.9552,0.16060706303715705,0.16662257038689446,0.1794055464901337,0.9552830188679244,0.9483962264150942
66,0.9552,0.16060706151127815,0.17032143816533613,0.16837367002466108,0.9547256097560974,0.9531707317073168
67,0.9552,0.16060706435143948,0.1718121524269179,0.1757379740592905,0.9534948979591835,0.953673469387755
68,0.9552,0.16060706170201303,0.17676671038221187,0.1968258954933242,0.9535991379310347,0.946551724137931
69,0.9552,0.16060705947680398,0.17513863037762073,0.16900224979500122,0.9542924528301886,0.9532075471698114
