round,test_acc,test_loss,train_loss,val_loss,train_acc,val_acc
26,0.944,0.1746435895562172,0.16045582989371235,0.1961493712871217,0.9519098324313534,0.9414649425668802
27,0.9509,0.16170699752569198,0.15730272333701265,0.17744794088441646,0.952905904050972,0.9487369009042828
28,0.9509,0.161706998193264,0.15971992166841792,0.1735345035422938,0.951337909685674,0.9505313998295339
29,0.9509,0.16170699965953828,0.15813627943234979,0.18838621109181924,0.9537898780444269,0.9443338020138505
30,0.9526,0.15255801613032818,0.14476113752867598,0.1643524301150592,0.9565564052273052,0.9524690157505596
31,0.9526,0.15255801478028297,0.14195542322662288,0.1691744395260579,0.9572680645044697,0.9502919207222954
32,0.9526,0.15255801442861558,0.13831112683069882,0.17227567083684095,0.9576837510482449,0.9505129420721204
33,0.954,0.15007447556257247,0.1294568314774495,0.16695491233993637,0.9615231349311021,0.9531148926134165
34,0.954,0.15007447570711374,0.13424681165666472,0.18263458597592508,0.9603582010059556,0.9484184438879977
35,0.954,0.1500744747787714,0.13777744351096563,0.17428147533528596,0.9589161087336183,0.9496923590012952
36,0.952,0.15272667902708054,0.1278431434648745,0.16108832254219443,0.9610909362957334,0.9494787802097295
37,0.952,0.15272667953968047,0.1350374226259821,0.16190134284088106,0.9584445224413123,0.950531728467585
38,0.952,0.15272667986154556,0.13637234049032085,0.15678068187903305,0.9576532720196214,0.9513107847064871
39,0.9519,0.15198809372782707,0.13562159285280662,0.16681206231161905,0.9590988636868845,0.9517215828336113
40,0.9519,0.15198809317350387,0.13737555821334815,0.16469253897491526,0.9589216894849828,0.9519618438394903
41,0.9519,0.1519880947291851,0.13901723835363017,0.17331992844784985,0.9577185485429578,0.9490367764662095
42,0.955,0.1425839898467064,0.11909321708707,0.15945214784040013,0.9650499831216818,0.9536507420873694
43,0.955,0.14258398948907852,0.12262111002828521,0.15632083757649606,0.9643641518583802,0.9540904592473576
44,0.955,0.14258399136662483,0.12271509175038778,0.15302197346402516,0.9641274722173082,0.9560934491379001
45,0.9537,0.1445625051856041,0.11578827195555902,0.15498521161731266,0.9629577243286467,0.9525013996968806
46,0.9537,0.14456249299645424,0.11319299287798604,0.16225112766501257,0.9640708345880463,0.9508184868392074
47,0.9537,0.14456249384582043,0.12026383093124376,0.15762305949627128,0.9618934005434271,0.951381690349707
48,0.9574,0.13013879212066531,0.10684094908188273,0.15282752790367268,0.9681936297586683,0.9544440269520935
49,0.9574,0.13013879134058953,0.11034849736900962,0.14315980727131178,0.9676819017681183,0.9558931009530218
50,0.9574,0.1301387916624546,0.1065546623151706,0.14966940582041854,0.9693063908751391,0.9553135554589052
51,0.9574,0.1342608905494213,0.10786709576026177,0.1470904578481267,0.9682609820161914,0.954639031935839
52,0.9574,0.1342608897805214,0.10812054098133106,0.13559271810114976,0.9683610061765803,0.9584651011708999
53,0.9574,0.13426089248657228,0.10957375142855535,0.14229895500480283,0.9680525587378022,0.9586025839322986
